city,country,pm25_ugm3,no2_ugm3
Los Angeles,USA,53.68,26.69
Los Angeles,USA,56.92,51.95
Los Angeles,USA,56.19,69.27
Los Angeles,USA,56.9,41.09
Los Angeles,USA,54.98,65.81
Los Angeles,USA,51.77,42.26
Los Angeles,USA,52.1,51.89
Los Angeles,USA,56.22,52.22
Los Angeles,USA,56.64,21.09
Los Angeles,USA,63.17,54.73
Los Angeles,USA,51.18,24.5
Los Angeles,USA,57.61,29.04
Los Angeles,USA,56.19,45.43
Los Angeles,USA,52.13,25.17
Los Angeles,USA,58.22,53.05
Los Angeles,USA,52.54,49.94
Los Angeles,USA,50.28,43.1
Los Angeles,USA,54.11,38.81
Los Angeles,USA,56.15,49.74
Los Angeles,USA,53.94,56.53
Los Angeles,USA,61.05,37.04
Los Angeles,USA,52.18,32.78
Los Angeles,USA,54.88,23.97
Los Angeles,USA,58.27,39.3
Los Angeles,USA,56.82,30.72
Los Angeles,USA,51.41,64.71
Los Angeles,USA,60.28,41.34
Los Angeles,USA,53.85,56.96
Los Angeles,USA,61.73,55.67
Los Angeles,USA,55.1,37.51
Los Angeles,USA,56.51,52.78
Los Angeles,USA,57.61,49.04
Los Angeles,USA,51.07,52.79
Chicago,USA,51.27,43.09
Houston,USA,54.04,52.21
Houston,USA,50.33,50.81
Houston,USA,52.72,32.8
Houston,USA,54.64,42.48
Houston,USA,52.83,52.24
Houston,USA,51.96,27.87
Houston,USA,51.52,46.68
Houston,USA,57.22,54.99
Houston,USA,56.3,41.49
Houston,USA,55.3,27.69
Houston,USA,51.16,50.55
Houston,USA,56.55,26.32
San Antonio,USA,52.17,40.6
San Antonio,USA,51.06,15.33
San Antonio,USA,50.94,41.11
San Antonio,USA,50.24,40.87
San Antonio,USA,51.77,32.94
San Antonio,USA,50.09,25.53
San Antonio,USA,53.74,16.01
London,UK,55.44,62.85
London,UK,56.07,37.77
London,UK,50.71,75.69
London,UK,50.05,24.91
London,UK,54.34,50.1
London,UK,51.03,55.23
London,UK,51.7,53.29
London,UK,50.4,48.78
London,UK,52.11,57.82
London,UK,52.69,34.9
London,UK,55.19,33.1
London,UK,52.23,43.31
London,UK,52.06,49.08
London,UK,55.8,44.12
London,UK,57.34,58.66
London,UK,51.17,27.49
London,UK,51.49,40.4
London,UK,50.75,41.92
Paris,France,50.48,27.99
Paris,France,50.34,54.55
Paris,France,50.86,54.36
Paris,France,52.08,60.81
Paris,France,50.24,26.84
Paris,France,51.77,42.37
Paris,France,51.55,25.21
Paris,France,51.36,59.28
Tokyo,Japan,50.56,35.95
Tokyo,Japan,50.33,48.7
Tokyo,Japan,51.28,52.52
Tokyo,Japan,50.86,62.4
Tokyo,Japan,53.07,58.0
Tokyo,Japan,60.24,40.78
Tokyo,Japan,56.2,55.61
Tokyo,Japan,55.02,32.73
Tokyo,Japan,51.72,34.9
Tokyo,Japan,57.65,31.4
Tokyo,Japan,57.69,40.76
Tokyo,Japan,50.92,48.0
Tokyo,Japan,57.32,40.16
Tokyo,Japan,50.71,30.17
Tokyo,Japan,54.7,29.05
Tokyo,Japan,57.75,62.02
Tokyo,Japan,52.54,30.95
Tokyo,Japan,60.8,51.07
Tokyo,Japan,58.35,51.96
Tokyo,Japan,59.69,26.84
Tokyo,Japan,51.16,41.16
Tokyo,Japan,51.62,25.45
Tokyo,Japan,51.16,53.69
